image_id,x_top_left,y_top_left,width,height
arena_9_frame_00000,18.466356,14.630073,154.5725,157.46666
arena_10_frame_00004,21.096458,17.208597,138.23624,153.57104
arena_16_frame_00003,3.6284158,17.679855,143.08049,149.23398
arena_8_frame_00004,13.776487,17.153877,155.57016,157.58923
arena_14_frame_00001,16.939157,20.841368,151.3007,144.29994
arena_5_frame_00000,22.08533,0.0,139.91467,158.60083
arena_20_frame_00004,22.94244,22.43561,144.85004,148.23161
arena_10_frame_00002,20.747658,17.445726,138.84756,153.66823
arena_6_frame_00004,2.0382223,17.814617,135.62523,150.45718
arena_15_frame_00002,20.189363,21.09709,137.77203,145.63202
