                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5911,                 3.1128,                 1.7869,                0.77231,                   0.45,                0.61801,                0.25998,                 1.6846,                 2.5912,                 2.5034,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                  1.164,                 1.7521,                 1.4994,                0.78056,                    0.8,                0.90524,                  0.478,                 1.5706,                  3.496,                  2.344,             0.00018246,             0.00018246,             0.00018246
                      3,                0.99827,                 1.2364,                 1.3204,                0.90967,                0.94635,                0.97833,                0.66361,                 1.4157,                 2.0241,                 1.7074,             0.00028058,             0.00028058,             0.00028058
                      4,                 1.0087,                 1.0332,                 1.3328,                0.86957,                   0.95,                0.99045,                0.62334,                 1.3917,                 1.4037,                 1.7847,             0.00037772,             0.00037772,             0.00037772
                      5,                0.92981,                0.92334,                 1.2989,                0.68876,                   0.75,                0.87744,                0.56506,                 1.3443,                    2.2,                 1.7998,             0.00047386,             0.00047386,             0.00047386
                      6,                  0.933,                0.86136,                 1.3103,                0.93517,                0.82713,                0.94827,                0.64838,                 1.2647,                 1.5689,                 2.0496,             0.00056901,             0.00056901,             0.00056901
                      7,                0.96565,                 0.8381,                  1.331,                 0.8211,                   0.85,                0.90861,                0.61033,                 1.2118,                 1.4165,                 1.8089,             0.00066317,             0.00066317,             0.00066317
                      8,                  0.913,                 0.7722,                 1.2818,                0.64431,                    0.9,                0.84214,                0.40032,                 1.6352,                 1.7517,                 2.3429,             0.00075634,             0.00075634,             0.00075634
                      9,                0.87255,                 0.6902,                 1.2548,                0.92534,                0.89573,                0.93825,                0.65718,                 1.1124,                0.98608,                  1.696,             0.00084852,             0.00084852,             0.00084852
                     10,                0.90465,                 0.7872,                 1.3302,                0.78342,                    0.9,                0.88496,                  0.636,                 1.0988,                 1.3622,                 1.7085,             0.00093971,             0.00093971,             0.00093971
                     11,                0.89572,                0.77028,                 1.2826,                0.89317,                0.95963,                0.99045,                0.60259,                 1.4172,                 1.0619,                 2.3558,              0.0010299,              0.0010299,              0.0010299
                     12,                0.86961,                 0.6685,                 1.2485,                0.88404,                0.72869,                0.88123,                0.49317,                 1.6546,                 1.1891,                 2.5384,              0.0011191,              0.0011191,              0.0011191
                     13,                 0.9045,                0.69739,                  1.318,                0.90269,                 0.9718,                0.97667,                0.48572,                 1.5578,                 1.1518,                 2.1841,              0.0012073,              0.0012073,              0.0012073
