                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5882,                 3.0776,                 1.7694,                0.81371,                    0.2,                0.33999,                0.17272,                   1.83,                 3.1474,                 2.6695,              8.335e-05,              8.335e-05,              8.335e-05
                      2,                 1.1632,                 1.7598,                 1.4961,                      1,                0.44382,                0.67778,                0.33279,                 1.6831,                 5.4302,                  2.261,             0.00018307,             0.00018307,             0.00018307
                      3,                0.97198,                 1.1791,                 1.3309,                0.58352,                0.68977,                0.70204,                0.39968,                 1.5904,                  2.267,                 2.0901,             0.00028245,             0.00028245,             0.00028245
                      4,                0.94582,                 1.0049,                  1.314,                0.76749,                    0.9,                0.84374,                0.52558,                 1.3587,                 1.7972,                 1.8107,             0.00038151,             0.00038151,             0.00038151
                      5,                0.91054,                0.97676,                  1.301,                0.50086,                0.81462,                0.82284,                0.47093,                 1.3058,                  2.085,                 1.7007,             0.00048024,             0.00048024,             0.00048024
                      6,                0.92298,                 0.8517,                 1.2956,                0.90664,                   0.85,                0.92415,                0.50911,                 1.5322,                 2.3558,                 1.9938,             0.00057864,             0.00057864,             0.00057864
                      7,                0.91099,                0.82574,                 1.3262,                0.97426,                0.83092,                0.90134,                0.52309,                 1.3464,                 3.0173,                 1.9876,              0.0006767,              0.0006767,              0.0006767
                      8,                0.90135,                0.79983,                 1.2963,                0.89665,                   0.85,                0.89065,                0.56868,                 1.3813,                 1.9106,                 2.3006,             0.00077444,             0.00077444,             0.00077444
                      9,                  0.922,                0.73857,                 1.2987,                0.83897,                   0.85,                0.85868,                 0.5927,                 1.3171,                 1.3476,                 1.9833,             0.00087185,             0.00087185,             0.00087185
                     10,                0.91267,                0.77078,                 1.3264,                0.93855,                    0.9,                 0.9405,                0.58663,                 1.4104,                 1.2079,                 2.3035,             0.00096892,             0.00096892,             0.00096892
                     11,                0.90503,                0.73932,                 1.3187,                0.98668,                    0.9,                0.93648,                0.55126,                 1.3919,                 1.9512,                 2.2578,              0.0010657,              0.0010657,              0.0010657
                     12,                0.87601,                0.66706,                 1.2328,                0.65931,                   0.95,                0.88698,                0.33771,                 2.1707,                 2.3163,                  3.059,              0.0011621,              0.0011621,              0.0011621
                     13,                0.86478,                 0.6501,                 1.2844,                0.69292,                0.93822,                0.89214,                0.61364,                 1.3012,                 1.3854,                 1.9839,              0.0012582,              0.0012582,              0.0012582
                     14,                0.92331,                0.69133,                 1.2793,                 0.6564,                0.88781,                 0.8736,                0.61735,                 1.2772,                 1.9017,                 2.1035,              0.0013539,              0.0013539,              0.0013539
                     15,                0.87303,                0.63403,                 1.2965,                0.72266,                0.94313,                0.86728,                0.54829,                 1.4294,                 1.6766,                 2.3853,              0.0014494,              0.0014494,              0.0014494
                     16,                0.85986,                0.63922,                 1.2518,                0.81438,                0.94157,                 0.8648,                0.56367,                 1.4237,                 1.0647,                 2.2479,              0.0015445,              0.0015445,              0.0015445
                     17,                0.87888,                0.68157,                 1.2567,                0.84397,                   0.95,                0.89202,                0.56067,                 1.4982,                 1.1694,                 2.2761,               0.001623,               0.001623,               0.001623
                     18,                0.82652,                0.63724,                 1.2178,                0.88787,                0.94521,                0.89587,                0.53727,                 1.4466,                 1.5007,                 2.8308,              0.0016202,              0.0016202,              0.0016202
                     19,                0.81714,                0.59257,                  1.247,                0.89589,                   0.95,                0.92523,                0.57568,                 1.3998,                 1.0585,                 2.5415,              0.0016175,              0.0016175,              0.0016175
                     20,                0.78936,                0.58829,                 1.2267,                0.84584,                   0.95,                 0.9255,                0.62868,                 1.1473,                 1.2889,                 2.0214,              0.0016147,              0.0016147,              0.0016147
                     21,                0.79678,                0.56402,                 1.2311,                 0.8616,                   0.95,                0.93583,                0.67781,                 1.0812,                0.86798,                  1.775,               0.001612,               0.001612,               0.001612
                     22,                0.81745,                0.56491,                 1.2405,                0.91703,                   0.95,                0.91144,                0.66811,                 1.0671,                 1.0186,                 1.6668,              0.0016092,              0.0016092,              0.0016092
                     23,                0.81236,                0.58529,                 1.1893,                0.91183,                0.94896,                0.91106,                0.64643,                 1.0957,                 1.1036,                 1.7793,              0.0016065,              0.0016065,              0.0016065
                     24,                0.82245,                0.55346,                 1.2268,                0.94146,                   0.95,                0.94552,                 0.6855,                 1.0584,                0.95938,                 1.8166,              0.0016037,              0.0016037,              0.0016037
                     25,                0.83805,                0.57294,                 1.2232,                0.95927,                   0.95,                0.94539,                0.67077,                 1.1134,                 1.1241,                 1.8959,               0.001601,               0.001601,               0.001601
                     26,                0.81419,                  0.548,                 1.2234,                0.86316,                    0.9,                0.92517,                0.61967,                 1.1939,                 1.1954,                 1.9356,              0.0015982,              0.0015982,              0.0015982
                     27,                0.83944,                0.60339,                 1.2938,                0.81695,                0.94863,                0.91834,                0.67142,                 1.0722,                0.97151,                 1.7293,              0.0015955,              0.0015955,              0.0015955
                     28,                0.87378,                 0.5838,                 1.2822,                0.86404,                   0.95,                0.94581,                0.64732,                 1.1283,                0.82851,                 1.7263,              0.0015927,              0.0015927,              0.0015927
