                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8005,                 2.8265,                 1.6211,                0.32069,                0.63333,                0.42055,                0.14885,                  2.039,                 2.1206,                 1.8707,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.1888,                 1.2831,                 1.2514,                0.90432,                0.71937,                0.91495,                0.49317,                 1.6578,                 2.5497,                 1.7923,             0.00028199,             0.00028199,             0.00028199
                      3,                 1.0035,                0.87187,                 1.1409,                0.86644,                    0.9,                0.90853,                0.48848,                 1.5547,                 1.1905,                 1.7311,             0.00042913,             0.00042913,             0.00042913
                      4,                0.93561,                0.78526,                 1.1145,                0.95303,                0.93333,                0.98767,                 0.5975,                  1.226,                 1.2112,                 1.3914,             0.00057479,             0.00057479,             0.00057479
                      5,                0.97139,                0.72452,                 1.1381,                 0.9713,                0.95372,                  0.995,                0.70997,                 1.0802,                0.88659,                 1.4037,             0.00071896,             0.00071896,             0.00071896
                      6,                0.97671,                0.66283,                 1.2097,                 0.8436,                    0.9,                0.98324,                 0.6392,                 1.1241,                 1.2074,                 1.5513,             0.00086164,             0.00086164,             0.00086164
                      7,                0.93822,                0.63501,                 1.1521,                0.77628,                0.96667,                0.99313,                0.67791,                 1.1078,                 1.0685,                  1.429,              0.0010028,              0.0010028,              0.0010028
                      8,                0.92404,                0.61562,                 1.1776,                0.88681,                0.99216,                  0.995,                0.64497,                 1.1764,                  1.265,                 1.6631,              0.0011426,              0.0011426,              0.0011426
                      9,                0.89654,                0.57518,                 1.1345,                0.77391,                0.93333,                0.90369,                0.59261,                 1.2233,                 1.0447,                 1.7617,              0.0012808,              0.0012808,              0.0012808
                     10,                 0.9065,                0.58177,                 1.1612,                0.85728,                      1,                0.98875,                0.69849,                 1.0679,                0.98723,                 1.4646,              0.0014175,              0.0014175,              0.0014175
                     11,                0.91237,                0.53885,                 1.1121,                0.98126,                0.98557,                  0.995,                0.66016,                  1.241,                0.71692,                 1.7548,              0.0015528,              0.0015528,              0.0015528
                     12,                 0.9059,                0.55297,                 1.1238,                0.98862,                0.98337,                  0.995,                0.73567,                 1.0065,                0.61063,                 1.3416,              0.0015762,              0.0015762,              0.0015762
                     13,                0.90231,                 0.5621,                 1.1163,                0.97371,                0.96449,                  0.995,                0.72894,                 1.0389,                0.62471,                 1.3554,               0.001568,               0.001568,               0.001568
                     14,                0.91039,                0.54672,                 1.1526,                0.94199,                0.96902,                  0.995,                 0.6557,                 1.2655,                0.82189,                 1.6898,              0.0015597,              0.0015597,              0.0015597
                     15,                0.87074,                0.50415,                  1.116,                0.89644,                      1,                  0.995,                0.69304,                 1.0418,                 0.8135,                 1.4398,              0.0015515,              0.0015515,              0.0015515
                     16,                0.83135,                0.50958,                 1.0936,                0.80477,                      1,                0.95018,                0.64775,                 1.0532,                0.87489,                 1.3702,              0.0015432,              0.0015432,              0.0015432
                     17,                0.87044,                 0.5135,                  1.129,                0.94701,                      1,                  0.995,                0.75011,                0.92934,                0.59933,                 1.2474,               0.001535,               0.001535,               0.001535
                     18,                0.85316,                0.50659,                 1.1017,                0.88898,                      1,                  0.995,                0.75274,                0.91302,                0.61631,                 1.2116,              0.0015267,              0.0015267,              0.0015267
