                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8143,                 2.8224,                 1.6257,                0.51121,                0.46667,                0.54555,                0.23932,                 1.7857,                 1.8168,                 1.5852,             0.00013336,             0.00013336,             0.00013336
                      2,                 1.1805,                 1.2809,                 1.2485,                0.86648,                0.68758,                0.85458,                0.48387,                 1.4136,                 2.3801,                  1.563,             0.00028292,             0.00028292,             0.00028292
                      3,                 1.0041,                 0.8921,                 1.1344,                0.82946,                0.99673,                0.94011,                 0.5832,                  1.209,                 1.2476,                 1.4881,             0.00043199,             0.00043199,             0.00043199
                      4,                0.93396,                 0.7926,                 1.0996,                0.88781,                      1,                0.96256,                 0.6225,                 1.0754,                 1.0601,                 1.2921,             0.00058056,             0.00058056,             0.00058056
                      5,                0.98008,                0.74416,                 1.1447,                0.87025,                      1,                  0.995,                0.72457,                 1.0061,                 1.5462,                 1.2711,             0.00072864,             0.00072864,             0.00072864
                      6,                0.98486,                0.71674,                 1.1887,                0.66688,                0.86667,                0.92274,                0.49064,                 1.2028,                  1.724,                 1.4455,             0.00087622,             0.00087622,             0.00087622
                      7,                0.96457,                 0.6629,                 1.1405,                0.82466,                0.86667,                0.91262,                0.43482,                 1.4531,                  2.135,                 1.6941,              0.0010233,              0.0010233,              0.0010233
                      8,                 0.9476,                0.63504,                 1.1765,                0.80662,                0.93629,                0.97458,                0.64076,                 1.2042,                 1.0211,                 1.4893,              0.0011699,              0.0011699,              0.0011699
                      9,                0.91351,                0.63519,                 1.1313,                0.75205,                      1,                  0.995,                0.64264,                 1.1971,                 1.9958,                 1.6417,               0.001316,               0.001316,               0.001316
                     10,                0.87578,                0.58093,                 1.1212,                  0.695,                0.96667,                0.95807,                0.56643,                  1.235,                 2.3869,                 1.6198,              0.0014616,              0.0014616,              0.0014616
                     11,                0.93386,                0.58257,                 1.1175,                0.78678,                0.96667,                0.94104,                0.56944,                 1.1983,                 1.2241,                 1.5803,              0.0016067,              0.0016067,              0.0016067
                     12,                0.91225,                0.57533,                  1.129,                 0.7638,                      1,                0.94508,                0.62508,                 1.0989,                 1.8617,                 1.4128,              0.0016367,              0.0016367,              0.0016367
                     13,                 0.9107,                0.56994,                 1.1165,                 0.7818,                0.95959,                0.97743,                0.66827,                 1.1442,                 1.5611,                 1.4849,               0.001634,               0.001634,               0.001634
                     14,                0.87017,                 0.5396,                 1.1189,                0.88078,                      1,                  0.995,                 0.6913,                 1.0334,                0.83042,                 1.3366,              0.0016312,              0.0016312,              0.0016312
                     15,                0.87919,                0.53294,                 1.1133,                0.83545,                      1,                  0.995,                0.62441,                 1.1268,                 1.1113,                 1.4519,              0.0016285,              0.0016285,              0.0016285
                     16,                0.85008,                0.51606,                 1.0944,                0.84199,                      1,                  0.995,                0.65815,                  1.078,                0.89809,                  1.391,              0.0016257,              0.0016257,              0.0016257
                     17,                0.87115,                0.49738,                 1.1288,                 0.8325,                      1,                  0.995,                0.71448,                0.98477,                0.77059,                 1.2366,               0.001623,               0.001623,               0.001623
                     18,                0.87688,                0.51239,                 1.1173,                0.82716,                      1,                  0.995,                0.67818,                 1.0095,                0.85979,                 1.2497,              0.0016202,              0.0016202,              0.0016202
                     19,                0.84981,                0.49945,                 1.1273,                0.77058,                0.96667,                 0.9751,                0.69494,                0.99305,                0.74909,                 1.2431,              0.0016175,              0.0016175,              0.0016175
                     20,                0.83506,                0.47931,                 1.1003,                0.84531,                      1,                0.99094,                0.62093,                0.99466,                0.73295,                 1.2662,              0.0016147,              0.0016147,              0.0016147
                     21,                0.84375,                0.48497,                 1.1087,                0.98036,                      1,                  0.995,                0.74501,                 1.0154,                0.60824,                 1.2316,               0.001612,               0.001612,               0.001612
                     22,                0.80635,                0.45883,                 1.0939,                0.93439,                0.96667,                0.97976,                0.64391,                  1.114,                0.79988,                 1.3587,              0.0016092,              0.0016092,              0.0016092
                     23,                0.85138,                0.47579,                 1.1085,                0.85033,                      1,                  0.995,                0.70846,                 1.0693,                0.66942,                 1.3025,              0.0016065,              0.0016065,              0.0016065
                     24,                0.79069,                 0.4617,                  1.094,                  0.817,                0.96667,                0.98202,                0.69846,                 1.0914,                0.64427,                  1.366,              0.0016037,              0.0016037,              0.0016037
                     25,                0.79923,                0.44308,                 1.0909,                0.95194,                      1,                  0.995,                0.72082,                0.99279,                0.55385,                 1.2411,               0.001601,               0.001601,               0.001601
                     26,                0.81882,                 0.4595,                 1.0889,                0.91727,                0.97152,                  0.995,                0.70674,                 1.0054,                0.62971,                 1.2763,              0.0015982,              0.0015982,              0.0015982
                     27,                0.81449,                0.46167,                 1.1068,                0.82789,                0.95998,                0.96283,                0.71335,                0.94788,                  0.617,                 1.2014,              0.0015955,              0.0015955,              0.0015955
                     28,                0.80208,                0.44788,                  1.084,                0.85273,                      1,                  0.995,                0.73938,                0.97772,                0.59637,                 1.2111,              0.0015927,              0.0015927,              0.0015927
                     29,                 0.8221,                0.44552,                 1.0807,                0.87106,                      1,                  0.995,                0.73248,                 1.0324,                0.57066,                 1.2336,                0.00159,                0.00159,                0.00159
                     30,                 0.8226,                0.44269,                 1.0983,                0.94777,                0.96874,                  0.995,                0.71381,                0.97199,                 0.5272,                 1.2027,              0.0015872,              0.0015872,              0.0015872
                     31,                0.79224,                0.43469,                  1.081,                0.86831,                      1,                  0.995,                0.73402,                 1.0086,                0.55235,                 1.2402,              0.0015845,              0.0015845,              0.0015845
                     32,                0.81213,                0.44188,                 1.0869,                0.87359,                      1,                  0.995,                0.74706,                 0.9345,                0.53804,                 1.1644,              0.0015817,              0.0015817,              0.0015817
                     33,                0.81255,                0.44917,                   1.08,                0.85456,                      1,                  0.995,                0.71938,                 1.0321,                0.53541,                 1.2298,               0.001579,               0.001579,               0.001579
                     34,                0.79506,                0.43351,                 1.0951,                0.89715,                      1,                  0.995,                0.75194,                0.89824,                0.53586,                 1.1399,              0.0015762,              0.0015762,              0.0015762
                     35,                0.79531,                0.42953,                 1.0722,                0.87352,                      1,                  0.995,                0.74118,                0.91249,                0.51801,                 1.1563,              0.0015735,              0.0015735,              0.0015735
                     36,                 0.7938,                0.42607,                 1.0613,                0.87905,                      1,                  0.995,                0.70857,                0.98004,                0.50402,                 1.2268,              0.0015707,              0.0015707,              0.0015707
                     37,                0.78458,                0.41441,                 1.0878,                0.85291,                      1,                  0.995,                0.71127,                 0.9945,                0.56531,                 1.2204,               0.001568,               0.001568,               0.001568
                     38,                0.77548,                0.41138,                 1.0626,                0.84982,                      1,                  0.995,                0.71587,                0.95868,                0.60485,                 1.2053,              0.0015652,              0.0015652,              0.0015652
                     39,                0.79289,                0.42464,                  1.105,                0.85393,                      1,                  0.995,                0.70224,                 1.0442,                0.58593,                 1.2468,              0.0015625,              0.0015625,              0.0015625
                     40,                0.76873,                0.42281,                 1.0689,                0.94877,                0.98165,                  0.995,                0.72988,                0.99358,                 0.5196,                 1.2288,              0.0015597,              0.0015597,              0.0015597
                     41,                0.77112,                0.41716,                 1.0787,                0.97568,                0.99156,                  0.995,                0.72783,                0.97365,                0.51626,                 1.2008,               0.001557,               0.001557,               0.001557
                     42,                0.79048,                0.41004,                 1.0618,                0.86907,                      1,                  0.995,                0.71796,                0.96243,                0.59232,                 1.1877,              0.0015542,              0.0015542,              0.0015542
                     43,                0.78242,                0.43428,                 1.0943,                0.85629,                      1,                  0.995,                0.73201,                 0.9751,                0.61206,                 1.2004,              0.0015515,              0.0015515,              0.0015515
                     44,                0.77226,                0.39856,                 1.0616,                0.91905,                      1,                0.98021,                0.70546,                  1.017,                0.50796,                 1.2346,              0.0015487,              0.0015487,              0.0015487
                     45,                0.77612,                0.39703,                 1.0786,                0.96666,                0.99624,                  0.995,                 0.7237,                 0.9478,                0.49219,                    1.2,               0.001546,               0.001546,               0.001546
                     46,                0.78007,                0.41699,                 1.0597,                0.97186,                      1,                  0.995,                0.73244,                0.93818,                0.48753,                 1.1889,              0.0015432,              0.0015432,              0.0015432
                     47,                0.77803,                0.40868,                 1.0743,                0.97959,                      1,                  0.995,                0.73041,                0.91601,                0.43858,                 1.1588,              0.0015405,              0.0015405,              0.0015405
                     48,                0.79664,                0.41363,                 1.0718,                0.91945,                      1,                  0.995,                0.74097,                 0.9938,                0.49733,                 1.2404,              0.0015377,              0.0015377,              0.0015377
                     49,                0.77377,                0.40432,                 1.0531,                0.92437,                      1,                  0.995,                0.73159,                0.92197,                0.46754,                 1.1782,               0.001535,               0.001535,               0.001535
                     50,                0.76438,                0.40429,                 1.0696,                0.96829,                      1,                  0.995,                0.73861,                 0.9172,                0.45902,                 1.1907,              0.0015322,              0.0015322,              0.0015322
                     51,                0.76891,                0.41222,                 1.0758,                0.95814,                      1,                  0.995,                0.72894,                0.93235,                0.46741,                 1.2079,              0.0015295,              0.0015295,              0.0015295
                     52,                0.79747,                0.41072,                 1.0734,                0.91432,                      1,                  0.995,                0.72346,                 1.0142,                0.51065,                 1.2307,              0.0015267,              0.0015267,              0.0015267
                     53,                0.76467,                0.40016,                 1.0716,                0.90171,                      1,                  0.995,                0.74508,                0.89049,                0.48765,                 1.1667,               0.001524,               0.001524,               0.001524
                     54,                 0.7635,                0.39024,                 1.0792,                0.98344,                      1,                  0.995,                0.72457,                0.92556,                0.45315,                 1.1677,              0.0015212,              0.0015212,              0.0015212
                     55,                0.74737,                0.38679,                 1.0499,                0.92783,                      1,                  0.995,                0.72672,                0.97397,                 0.4793,                 1.2004,              0.0015185,              0.0015185,              0.0015185
                     56,                0.77207,                0.39957,                 1.0939,                0.96166,                      1,                  0.995,                 0.7657,                0.87608,                0.42615,                 1.1507,              0.0015157,              0.0015157,              0.0015157
                     57,                0.76106,                0.38929,                 1.0569,                0.95965,                      1,                  0.995,                0.71284,                0.92171,                0.44024,                 1.1694,               0.001513,               0.001513,               0.001513
                     58,                0.76454,                0.39341,                 1.0584,                0.95851,                      1,                  0.995,                 0.7289,                0.99997,                0.43433,                 1.1955,              0.0015102,              0.0015102,              0.0015102
                     59,                0.73859,                0.38861,                 1.0474,                0.95591,                      1,                  0.995,                 0.7394,                0.93432,                0.44433,                 1.1762,              0.0015075,              0.0015075,              0.0015075
                     60,                0.72769,                  0.382,                 1.0586,                0.95637,                      1,                  0.995,                0.74096,                0.95153,                0.40671,                 1.2086,              0.0015047,              0.0015047,              0.0015047
                     61,                0.74989,                0.38074,                  1.049,                0.96156,                      1,                  0.995,                 0.7642,                0.89129,                0.40425,                 1.1712,               0.001502,               0.001502,               0.001502
                     62,                0.76191,                0.39991,                 1.0713,                0.96858,                      1,                  0.995,                0.79052,                0.94046,                0.42031,                 1.2084,              0.0014992,              0.0014992,              0.0014992
                     63,                0.75475,                0.38629,                 1.0772,                0.97576,                      1,                  0.995,                0.78162,                0.91594,                0.40619,                 1.1764,              0.0014965,              0.0014965,              0.0014965
                     64,                 0.7309,                0.40161,                 1.0333,                0.97024,                      1,                  0.995,                0.76747,                0.88404,                 0.3938,                 1.1526,              0.0014937,              0.0014937,              0.0014937
                     65,                0.73268,                0.38917,                 1.0539,                0.96715,                      1,                  0.995,                 0.7352,                0.99833,                0.42401,                 1.1942,               0.001491,               0.001491,               0.001491
                     66,                 0.7574,                0.38761,                 1.0454,                0.96817,                      1,                  0.995,                0.74619,                0.94232,                0.40141,                 1.1654,              0.0014882,              0.0014882,              0.0014882
                     67,                0.74705,                0.38251,                 1.0641,                0.89701,                      1,                  0.995,                0.75105,                0.91571,                0.47252,                  1.157,              0.0014855,              0.0014855,              0.0014855
                     68,                0.76642,                0.39622,                 1.0701,                0.96585,                      1,                  0.995,                0.74214,                0.93341,                0.41695,                 1.1885,              0.0014827,              0.0014827,              0.0014827
                     69,                0.72258,                0.38559,                 1.0672,                0.97556,                      1,                  0.995,                0.72899,                0.98143,                0.44125,                 1.2179,                0.00148,                0.00148,                0.00148
                     70,                 0.7377,                0.38817,                 1.0538,                0.90338,                      1,                  0.995,                0.71775,                0.97411,                0.50502,                 1.1815,              0.0014772,              0.0014772,              0.0014772
                     71,                0.71889,                0.38033,                 1.0401,                0.87042,                      1,                  0.995,                0.75663,                0.90322,                0.47862,                 1.1535,              0.0014745,              0.0014745,              0.0014745
                     72,                0.73854,                 0.3695,                 1.0575,                0.96707,                      1,                  0.995,                0.74398,                0.92839,                0.46668,                 1.1972,              0.0014717,              0.0014717,              0.0014717
                     73,                0.70282,                 0.3717,                 1.0409,                0.97165,                      1,                  0.995,                0.71647,                  0.904,                0.47851,                 1.1707,               0.001469,               0.001469,               0.001469
                     74,                0.75038,                0.37114,                  1.048,                0.97927,                      1,                  0.995,                0.74687,                 0.9023,                0.42095,                 1.1561,              0.0014662,              0.0014662,              0.0014662
                     75,                0.74256,                0.38302,                 1.0525,                0.92637,                      1,                  0.995,                 0.7621,                0.93414,                0.44686,                 1.1579,              0.0014635,              0.0014635,              0.0014635
                     76,                0.71084,                 0.3697,                  1.057,                0.94975,                0.99117,                  0.995,                0.72589,                0.94476,                0.46577,                 1.1836,              0.0014607,              0.0014607,              0.0014607
                     77,                0.72197,                0.37586,                 1.0636,                0.93073,                0.98733,                  0.995,                0.71541,                0.96864,                 0.4552,                 1.1806,               0.001458,               0.001458,               0.001458
                     78,                0.70762,                0.36804,                 1.0498,                0.95229,                      1,                  0.995,                 0.7522,                0.91719,                0.40697,                 1.1613,              0.0014552,              0.0014552,              0.0014552
                     79,                0.74223,                0.37748,                 1.0539,                0.98168,                      1,                  0.995,                0.75387,                0.86995,                0.38084,                 1.1437,              0.0014525,              0.0014525,              0.0014525
                     80,                0.74808,                0.37709,                 1.0573,                0.98298,                      1,                  0.995,                0.74435,                0.84106,                0.36734,                 1.1166,              0.0014497,              0.0014497,              0.0014497
                     81,                0.73101,                0.36134,                 1.0389,                0.98336,                      1,                  0.995,                0.75404,                 0.8551,                0.37216,                 1.1245,               0.001447,               0.001447,               0.001447
                     82,                0.72611,                0.36397,                 1.0518,                0.98463,                      1,                  0.995,                0.74625,                0.91091,                0.39131,                 1.1603,              0.0014442,              0.0014442,              0.0014442
                     83,                  0.729,                0.35425,                 1.0388,                0.98715,                      1,                  0.995,                0.77733,                0.87721,                0.37002,                 1.1415,              0.0014415,              0.0014415,              0.0014415
                     84,                0.72571,                0.36449,                 1.0655,                0.98581,                      1,                  0.995,                0.77046,                0.89936,                0.39157,                  1.147,              0.0014387,              0.0014387,              0.0014387
                     85,                0.72961,                0.37723,                 1.0397,                 0.9846,                      1,                  0.995,                0.74943,                0.93169,                0.40051,                 1.1587,               0.001436,               0.001436,               0.001436
                     86,                0.74557,                 0.3757,                 1.0651,                0.98176,                      1,                  0.995,                 0.7725,                0.87596,                0.40474,                 1.1477,              0.0014332,              0.0014332,              0.0014332
                     87,                0.72068,                0.36714,                 1.0374,                0.98148,                      1,                  0.995,                0.74972,                0.90413,                0.42569,                 1.1569,              0.0014305,              0.0014305,              0.0014305
                     88,                0.74163,                0.36775,                 1.0299,                0.97108,                      1,                  0.995,                0.77119,                0.91897,                0.40495,                 1.1422,              0.0014277,              0.0014277,              0.0014277
                     89,                0.69514,                0.35747,                 1.0119,                 0.9765,                      1,                  0.995,                0.75223,                0.92309,                0.38266,                 1.1619,               0.001425,               0.001425,               0.001425
                     90,                0.70789,                 0.3663,                 1.0466,                0.97929,                      1,                  0.995,                0.74586,                0.90623,                0.39401,                 1.1574,              0.0014222,              0.0014222,              0.0014222
                     91,                 0.7233,                0.37004,                 1.0414,                0.98375,                      1,                  0.995,                0.73422,                0.98696,                0.41407,                 1.1941,              0.0014195,              0.0014195,              0.0014195
                     92,                0.72991,                0.35719,                 1.0366,                0.98326,                      1,                  0.995,                0.74119,                0.94462,                0.40593,                 1.1813,              0.0014167,              0.0014167,              0.0014167
                     93,                 0.7492,                0.37282,                 1.0489,                0.98301,                      1,                  0.995,                0.74575,                0.92166,                0.39731,                 1.1603,              0.0014139,              0.0014139,              0.0014139
                     94,                0.69345,                0.38226,                 1.0494,                0.97951,                      1,                  0.995,                0.75775,                0.91082,                0.39206,                 1.1392,              0.0014112,              0.0014112,              0.0014112
                     95,                0.71335,                0.36448,                 1.0291,                0.97905,                      1,                  0.995,                0.78527,                0.85558,                0.39505,                 1.1125,              0.0014084,              0.0014084,              0.0014084
                     96,                0.69311,                0.36357,                 1.0587,                0.97592,                      1,                  0.995,                0.78069,                0.93832,                0.40702,                 1.1446,              0.0014057,              0.0014057,              0.0014057
                     97,                0.70308,                0.35869,                 1.0702,                0.97551,                      1,                  0.995,                0.77937,                0.85807,                0.37419,                 1.1195,              0.0014029,              0.0014029,              0.0014029
                     98,                0.69084,                0.34699,                 1.0338,                0.97256,                      1,                  0.995,                0.77815,                0.86462,                0.36307,                 1.1306,              0.0014002,              0.0014002,              0.0014002
                     99,                0.70378,                0.35823,                 1.0034,                0.96332,                      1,                  0.995,                0.76166,                0.87107,                0.38116,                 1.1234,              0.0013974,              0.0013974,              0.0013974
                    100,                  0.688,                0.36288,                 1.0573,                0.96327,                      1,                  0.995,                0.75449,                0.91693,                0.40214,                 1.1583,              0.0013947,              0.0013947,              0.0013947
                    101,                0.71363,                0.35857,                 1.0408,                0.97289,                      1,                  0.995,                0.74879,                0.89413,                0.37997,                 1.1431,              0.0013919,              0.0013919,              0.0013919
                    102,                0.71973,                0.36371,                 1.0405,                0.96662,                      1,                  0.995,                0.77152,                0.87537,                 0.3975,                 1.1337,              0.0013892,              0.0013892,              0.0013892
                    103,                0.73636,                0.36576,                 1.0516,                0.97172,                      1,                  0.995,                 0.7483,                 0.8944,                0.39786,                 1.1427,              0.0013864,              0.0013864,              0.0013864
                    104,                0.73984,                0.35324,                 1.0788,                0.97274,                      1,                  0.995,                0.75989,                0.89526,                 0.3648,                 1.1394,              0.0013837,              0.0013837,              0.0013837
                    105,                0.73626,                0.36105,                  1.057,                0.97609,                      1,                  0.995,                0.75862,                0.89322,                0.37262,                 1.1289,              0.0013809,              0.0013809,              0.0013809
                    106,                0.72219,                0.34684,                 1.0478,                0.97657,                      1,                  0.995,                0.77106,                0.91274,                0.36883,                 1.1482,              0.0013782,              0.0013782,              0.0013782
                    107,                0.70138,                0.34944,                 1.0334,                0.98217,                      1,                  0.995,                0.74167,                0.95032,                0.40311,                 1.2128,              0.0013754,              0.0013754,              0.0013754
                    108,                 0.7066,                0.34968,                 1.0416,                0.98426,                      1,                  0.995,                0.77028,                0.92543,                0.38716,                 1.1865,              0.0013727,              0.0013727,              0.0013727
                    109,                0.73212,                0.36483,                  1.054,                0.98206,                      1,                  0.995,                0.77058,                0.88241,                0.37267,                 1.1571,              0.0013699,              0.0013699,              0.0013699
                    110,                0.70716,                0.36191,                 1.0572,                0.98174,                      1,                  0.995,                0.78517,                0.88333,                 0.3644,                 1.1493,              0.0013672,              0.0013672,              0.0013672
                    111,                0.74034,                0.37328,                 1.0516,                0.98022,                      1,                  0.995,                0.76806,                0.88031,                 0.3825,                 1.1504,              0.0013644,              0.0013644,              0.0013644
                    112,                0.67937,                0.34475,                 1.0235,                0.97471,                      1,                  0.995,                  0.769,                0.87532,                0.36647,                 1.1556,              0.0013617,              0.0013617,              0.0013617
                    113,                0.73708,                0.37021,                 1.0447,                0.97117,                      1,                  0.995,                0.77747,                0.88968,                0.36009,                 1.1617,              0.0013589,              0.0013589,              0.0013589
                    114,                0.68403,                0.33233,                 1.0485,                   0.96,                      1,                  0.995,                0.76495,                0.89118,                0.36927,                 1.1546,              0.0013562,              0.0013562,              0.0013562
                    115,                 0.6934,                0.35805,                  1.036,                0.95816,                      1,                  0.995,                0.76265,                0.89486,                0.37004,                  1.161,              0.0013534,              0.0013534,              0.0013534
                    116,                0.70667,                0.35899,                 1.0273,                0.96227,                      1,                  0.995,                0.77476,                0.89097,                 0.3663,                 1.1496,              0.0013507,              0.0013507,              0.0013507
                    117,                0.69882,                0.34312,                 1.0398,                0.97956,                      1,                  0.995,                0.78408,                0.88425,                0.34361,                 1.1386,              0.0013479,              0.0013479,              0.0013479
                    118,                0.69931,                0.34641,                 1.0395,                0.98744,                      1,                  0.995,                0.77699,                0.91197,                0.34092,                 1.1526,              0.0013452,              0.0013452,              0.0013452
                    119,                0.69951,                0.35293,                 1.0414,                0.98757,                      1,                  0.995,                0.77909,                0.90807,                0.35442,                 1.1658,              0.0013424,              0.0013424,              0.0013424
                    120,                0.70001,                0.34849,                 1.0435,                0.98877,                      1,                  0.995,                0.76681,                0.87784,                0.35897,                 1.1519,              0.0013397,              0.0013397,              0.0013397
                    121,                0.71623,                0.35317,                 1.0561,                0.98678,                      1,                  0.995,                0.75636,                0.88732,                0.36409,                 1.1515,              0.0013369,              0.0013369,              0.0013369
                    122,                0.70998,                0.34614,                 1.0376,                0.98705,                      1,                  0.995,                0.77103,                0.89579,                0.34916,                 1.1552,              0.0013342,              0.0013342,              0.0013342
