epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,42.6799,2.12848,3.46078,1.61971,0.84734,0.8,0.87479,0.42852,1.6323,1.44103,1.41894,0.00080016,0.00026672,0.00080016,0.00026672,0.00080016,0.00026672,0.00080016,0.00026672
2,49.9553,1.66245,1.79013,1.38905,1,0.82598,0.95944,0.56693,1.27114,0.96345,1.23373,0.00164761,0.000549202,0.00164761,0.000549202,0.00164761,0.000549202,0.00164761,0.000549202
3,57.2444,1.25434,1.05422,1.17223,1,0.95552,0.99,0.69773,1.07444,0.56052,1.07389,0.00249225,0.000830749,0.00249225,0.000830749,0.00249225,0.000830749,0.00249225,0.000830749
4,63.3555,1.11549,0.83204,1.09541,0.96761,0.99598,0.99306,0.72724,1.04808,0.43566,1.06621,0.00333408,0.00111136,0.00333408,0.00111136,0.00333408,0.00111136,0.00333408,0.00111136
5,70.437,0.97801,0.68651,1.02618,0.96423,1,0.99403,0.69983,1.11804,0.39839,1.0988,0.00417311,0.00139104,0.00417311,0.00139104,0.00417311,0.00139104,0.00417311,0.00139104
6,76.5529,0.9411,0.61715,1.00908,1,0.99486,0.995,0.69053,1.04701,0.44256,1.09587,0.00495974,0.00165325,0.00495974,0.00165325,0.00495974,0.00165325,0.00495974,0.00165325
7,82.4981,0.92188,0.57427,1.00907,0.99563,1,0.995,0.74093,0.9965,0.42626,1.07365,0.00495149,0.0016505,0.00495149,0.0016505,0.00495149,0.0016505,0.00495149,0.0016505
8,89.58,0.89986,0.57563,0.9839,1,0.98864,0.995,0.76945,0.88796,0.453,0.98958,0.00494324,0.00164775,0.00494324,0.00164775,0.00494324,0.00164775,0.00494324,0.00164775
9,96.0359,0.85813,0.48404,0.97338,0.96521,1,0.99403,0.77562,0.91913,0.53414,1.00497,0.00493499,0.001645,0.00493499,0.001645,0.00493499,0.001645,0.00493499,0.001645
10,102.77,0.87195,0.4659,0.96424,0.99187,1,0.995,0.77483,0.90722,0.45398,1.00441,0.00492674,0.00164225,0.00492674,0.00164225,0.00492674,0.00164225,0.00492674,0.00164225
11,108.832,0.8211,0.43455,0.95886,0.9924,1,0.995,0.7661,0.94225,0.4016,1.00618,0.00491848,0.00163949,0.00491848,0.00163949,0.00491848,0.00163949,0.00491848,0.00163949
12,115.44,0.803,0.4206,0.93517,0.99108,1,0.995,0.77379,0.96319,0.4372,1.03298,0.00491023,0.00163674,0.00491023,0.00163674,0.00491023,0.00163674,0.00491023,0.00163674
13,121.592,0.77132,0.40986,0.92793,0.96588,1,0.99403,0.78727,0.925,0.53247,1.0114,0.00490198,0.00163399,0.00490198,0.00163399,0.00490198,0.00163399,0.00490198,0.00163399
14,127.989,0.78113,0.41364,0.93344,0.96664,1,0.995,0.80073,0.90423,0.46001,1.01314,0.00489373,0.00163124,0.00489373,0.00163124,0.00489373,0.00163124,0.00489373,0.00163124
15,134.151,0.72734,0.38464,0.92033,0.9682,1,0.995,0.76439,1.00121,0.47656,1.06628,0.00488548,0.00162849,0.00488548,0.00162849,0.00488548,0.00162849,0.00488548,0.00162849
16,140.655,0.73285,0.39174,0.91387,0.96739,1,0.995,0.76944,0.92826,0.38023,1.02488,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574,0.00487723,0.00162574
17,146.732,0.70785,0.3781,0.91087,0.99803,1,0.995,0.79591,0.90178,0.37976,0.99806,0.00486897,0.00162299,0.00486897,0.00162299,0.00486897,0.00162299,0.00486897,0.00162299
18,152.633,0.7249,0.39362,0.90622,0.96535,1,0.99403,0.8056,0.86667,0.36557,0.97319,0.00486072,0.00162024,0.00486072,0.00162024,0.00486072,0.00162024,0.00486072,0.00162024
19,159.1,0.69,0.37703,0.90634,0.96582,1,0.99403,0.81727,0.85209,0.35116,0.95941,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749,0.00485247,0.00161749
20,166.42,0.67224,0.37,0.90067,0.96739,0.9891,0.99403,0.7822,0.88667,0.41029,0.96747,0.00484422,0.00161474,0.00484422,0.00161474,0.00484422,0.00161474,0.00484422,0.00161474
21,172.647,0.69791,0.39793,0.9126,0.96678,1,0.995,0.80962,0.83917,0.40376,0.95883,0.00483597,0.00161199,0.00483597,0.00161199,0.00483597,0.00161199,0.00483597,0.00161199
22,178.53,0.65809,0.37494,0.89829,0.96557,1,0.99306,0.80343,0.79027,0.36931,0.94451,0.00482772,0.00160924,0.00482772,0.00160924,0.00482772,0.00160924,0.00482772,0.00160924
23,184.625,0.6343,0.35841,0.89938,0.96587,1,0.99403,0.78887,0.8231,0.39323,0.95713,0.00481946,0.00160649,0.00481946,0.00160649,0.00481946,0.00160649,0.00481946,0.00160649
24,191.345,0.64818,0.36674,0.89662,0.96503,1,0.99081,0.80309,0.85679,0.38343,0.9862,0.00481121,0.00160374,0.00481121,0.00160374,0.00481121,0.00160374,0.00481121,0.00160374
25,197.183,0.65324,0.35751,0.89106,0.96601,1,0.99081,0.80272,0.88576,0.38879,0.99942,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099,0.00480296,0.00160099
26,203.212,0.62242,0.35382,0.89383,0.99568,1,0.995,0.78269,0.88981,0.39168,0.99522,0.00479471,0.00159824,0.00479471,0.00159824,0.00479471,0.00159824,0.00479471,0.00159824
27,209.218,0.63489,0.35358,0.88884,1,0.99514,0.995,0.78225,0.89569,0.40314,0.99056,0.00478646,0.00159549,0.00478646,0.00159549,0.00478646,0.00159549,0.00478646,0.00159549
28,215.607,0.59342,0.33752,0.87524,0.99848,1,0.995,0.78424,0.86845,0.41015,1.00149,0.00477821,0.00159274,0.00477821,0.00159274,0.00477821,0.00159274,0.00477821,0.00159274
29,221.551,0.63961,0.35742,0.89039,0.99537,1,0.995,0.8064,0.88982,0.40224,1.00474,0.00476995,0.00158998,0.00476995,0.00158998,0.00476995,0.00158998,0.00476995,0.00158998
30,227.691,0.62182,0.34221,0.87392,0.9978,1,0.995,0.76939,0.8402,0.39732,0.98525,0.0047617,0.00158723,0.0047617,0.00158723,0.0047617,0.00158723,0.0047617,0.00158723
31,233.552,0.6106,0.33168,0.87805,0.99741,1,0.995,0.78136,0.85702,0.37005,0.9899,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448,0.00475345,0.00158448
32,240.243,0.6078,0.33463,0.86234,0.99506,1,0.995,0.80923,0.82412,0.35961,0.98007,0.0047452,0.00158173,0.0047452,0.00158173,0.0047452,0.00158173,0.0047452,0.00158173
33,246.245,0.58785,0.32999,0.87659,0.99477,1,0.995,0.79603,0.85505,0.35307,0.99455,0.00473695,0.00157898,0.00473695,0.00157898,0.00473695,0.00157898,0.00473695,0.00157898
34,252.371,0.59437,0.33758,0.87114,0.9951,1,0.995,0.76633,0.86485,0.38295,1.01047,0.0047287,0.00157623,0.0047287,0.00157623,0.0047287,0.00157623,0.0047287,0.00157623
35,258.318,0.56854,0.3379,0.86718,0.9964,1,0.995,0.79019,0.83135,0.36242,0.99433,0.00472044,0.00157348,0.00472044,0.00157348,0.00472044,0.00157348,0.00472044,0.00157348
36,264.983,0.58235,0.33629,0.87673,0.997,1,0.995,0.80278,0.87217,0.31725,1.0231,0.00471219,0.00157073,0.00471219,0.00157073,0.00471219,0.00157073,0.00471219,0.00157073
