epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.0523,2.57239,5.35246,2.03243,0.63845,0.26667,0.33921,0.12386,1.88957,2.57359,1.53816,0.00026672,0.00026672,0.00026672
2,13.4847,1.7388,1.87829,1.49769,0.89612,0.86279,0.90303,0.54366,1.3801,1.11051,1.30026,0.000549202,0.000549202,0.000549202
3,19.9238,1.47328,1.27184,1.33276,1,0.95893,0.96528,0.60441,1.30265,1.00028,1.25409,0.000830749,0.000830749,0.000830749
4,26.1803,1.42222,1.17899,1.24768,0.99557,0.96667,0.96518,0.61998,1.12778,0.71806,1.22114,0.00111136,0.00111136,0.00111136
5,31.942,1.39715,1.03492,1.22727,1,0.95832,0.96516,0.56072,1.37399,1.37042,1.34312,0.00139104,0.00139104,0.00139104
6,37.3753,1.35013,1.00682,1.21395,0.95691,0.96667,0.96619,0.70392,0.94149,0.77342,1.11593,0.00165325,0.00165325,0.00165325
7,43.1497,1.24355,0.9422,1.19587,0.99282,0.96667,0.96626,0.74602,0.93556,0.748,1.12295,0.0016505,0.0016505,0.0016505
8,48.7951,1.23147,0.83459,1.16044,0.99999,0.96667,0.96615,0.68632,1.06195,0.65344,1.16739,0.00164775,0.00164775,0.00164775
9,54.3274,1.19978,0.80055,1.14781,0.96134,0.96667,0.96445,0.65137,1.12024,0.69644,1.20487,0.001645,0.001645,0.001645
10,59.8487,1.12823,0.71547,1.10891,0.99549,0.96667,0.96634,0.71542,1.01436,0.64105,1.08493,0.00164225,0.00164225,0.00164225
11,65.3764,1.13465,0.68541,1.12895,0.99646,0.96667,0.96784,0.72165,1.05774,0.65121,1.12696,0.00163949,0.00163949,0.00163949
12,70.9991,1.09359,0.66412,1.08262,0.9961,0.96667,0.96667,0.70648,0.94242,0.49903,1.07401,0.00163674,0.00163674,0.00163674
13,76.5224,1.05658,0.6561,1.0697,0.99036,0.96667,0.96596,0.70167,0.97626,0.5379,1.0867,0.00163399,0.00163399,0.00163399
14,82.6939,1.08631,0.64065,1.09468,0.99686,0.96667,0.96672,0.73259,0.96933,0.50344,1.08688,0.00163124,0.00163124,0.00163124
