image_id,x_top_left,y_top_left,width,height
hthora_5_trial_20250226_140329_img79750,1241.3711,79.80504,259.3568,239.26549
000002_cropped_img12643,749.06323,80.54134,278.29187,262.29556
hthora_5_trial_20250226_140329_img30660,367.3691,46.64709,236.19925,233.89874
hcrass7f_trial_20250127_115538_img47080,226.97067,101.3443,369.67606,258.0719
000004_cropped_img01085,711.77686,119.8616,382.88782,290.51587
hcrass8m_trial_20250127_131249_img23543,253.1356,184.36322,382.51642,248.28906
hm_12_trial_20250313_123012_img20328,191.45604,60.226982,267.92084,192.62137
000003_cropped_img12588,715.1981,119.94194,374.51,291.67902
hcrass5f_trial_20250122_122502_img61031,987.8544,171.08545,293.4348,262.36154
hthora_6_trial_20250227_120718_img61273,755.88385,45.61783,266.84235,252.4567
hcrass2f_trial_20250115_135415_img10646,497.4551,219.31921,351.86557,137.63403
000001_cropped_img09131,660.2656,85.661995,336.68933,225.37851
000004_cropped_img14180,710.7673,120.81276,381.71307,288.4261
000003_cropped_img13009,713.5457,119.992645,378.54742,291.70605
hthora_5_trial_20250226_140329_img05016,365.738,46.521378,232.97855,232.65077
hcrass6f_trial_20250123_112349_img57619,460.7701,89.32466,371.28073,343.35712
000005_cropped_img0737,709.7099,120.64663,382.37177,288.64032
000002_cropped_img16892,766.0044,83.232155,263.81604,255.70691
hthora_5_trial_20250226_140329_img62747,1947.9882,153.11638,278.24353,248.84175
000005_cropped_img1964,532.3208,162.81801,365.0243,272.49072
000002_cropped_img04735,701.6229,86.42681,325.22266,239.13751
hm_19_trial_20250311_134139_img16147,1869.1847,40.8918,318.03235,271.55896
hcrass7f_trial_20250127_115538_img67965,247.17996,109.60468,249.69168,338.67175
hthora_5_trial_20250226_140329_img20913,367.65692,49.72521,238.625,226.23494
hthora_5_trial_20250226_140329_img17039,364.80444,47.595894,266.24152,238.38748
000004_cropped_img06968,710.69574,120.636215,384.41608,289.06287
hthora_6_trial_20250227_120718_img04657,278.11172,95.99814,303.92007,280.55203
hthora_5_trial_20250226_140329_img56751,633.1068,83.79228,298.17096,258.6861
hcrass5f_trial_20250122_122502_img91219,1053.4083,177.9558,315.51123,219.87563
hcrass8m_trial_20250127_131249_img31873,309.98245,191.53632,314.72598,233.02295
