image_id,x_top_left,y_top_left,width,height
hcrass2f_trial_20250115_135415_img22372,225.34793,16.993183,302.37076,314.90665
hcrass8m_trial_20250127_131249_img11271,280.2939,191.5233,346.40634,242.36095
hcrass2f_trial_20250115_135415_img02808,177.00392,77.09204,317.72784,225.99341
hcrass2f_trial_20250115_135415_img16690,376.49255,0.0,308.15906,323.92474
000005_cropped_img2081,528.8091,154.78116,362.54254,281.21506
hm_19_trial_20250311_134139_img87320,307.55875,27.099161,317.6108,239.14522
hcrass2f_trial_redo_20250203_131724_img62214,207.93614,79.4243,357.96198,354.21558
hcrass8m_trial_20250127_131249_img46162,1033.6378,92.69128,321.44824,266.08505
hm_19_trial_20250311_134139_img07870,352.54785,32.418175,252.33142,247.75967
hcrass7f_trial_20250127_115538_img00966,240.33092,183.47876,243.35811,261.5175
hcrass6f_trial_20250123_112349_img92077,193.67766,137.19765,371.1806,320.04932
000004_cropped_img11248,708.7979,127.43713,384.20526,282.31696
hm_12_trial_20250313_123012_img07609,478.2526,181.29935,225.79062,215.15356
hthora_6_trial_20250227_120718_img45532,735.18207,49.257565,283.1325,249.86829
hcrass5f_trial_20250122_122502_img61031,974.9713,150.56442,304.40222,282.90536
000001_cropped_img07292,651.7164,81.70326,310.47205,231.71425
hm_12_trial_20250313_123012_img48441,1521.1982,88.59245,285.92566,231.57341
000002_cropped_img11746,714.10675,80.54903,369.66998,273.0033
000004_cropped_img02122,710.2477,127.06619,384.35327,282.86893
hcrass5f_trial_20250122_122502_img72130,773.13153,94.86572,311.54144,245.33145
000005_cropped_img1884,700.81805,125.86311,396.87787,288.59894
000003_cropped_img13009,711.3377,124.92857,386.6573,285.33856
000000_cropped_img09771,1283.1222,81.98097,359.64502,278.43054
hm_12_trial_20250313_123012_img30856,2202.7747,149.76439,303.5022,262.46942
hcrass5f_trial_20250122_122502_img13567,1102.2117,180.50688,334.74878,245.50182
000004_cropped_img15154,709.11316,128.43466,383.96973,282.53342
hcrass5f_trial_20250122_122502_img29032,897.56866,162.43863,365.94183,261.12598
hcrass8m_trial_20250127_131249_img08705,312.3984,92.70702,351.23227,340.39206
000004_cropped_img04428,709.14825,127.64405,383.68976,283.37946
000004_cropped_img07828,709.3543,129.0093,384.6551,280.50592
